trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.995}",20,0,-67.0725403949597,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
2,False,"{'a': 0.2, 'e': 0.99}",25,0,-84.33699512332302,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
3,False,"{'a': 0.2, 'e': 0.985}",30,0,-185.56923149390542,"{0: 17, 1: 3, 2: 5, 3: 3, 4: 2}",0
4,False,"{'a': 0.2, 'e': 0.98}",25,0,-112.66270401319261,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.2, 'e': 0.975}",20,0,-76.17879623514885,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.2, 'e': 0.97}",20,0,-135.84970110234408,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.2, 'e': 0.965}",25,0,-135.04342847111886,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
8,False,"{'a': 0.2, 'e': 0.96}",20,0,-156.6058004904295,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
9,False,"{'a': 0.2, 'e': 0.955}",20,9,-12.689366519500075,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.2, 'e': 0.95}",20,0,-150.90312031052508,"{0: 10, 1: 0, 2: 6, 3: 3, 4: 1}",0
11,False,"{'a': 0.2, 'e': 0.945}",25,0,-149.2961696182198,"{0: 11, 1: 5, 2: 6, 3: 2, 4: 1}",0
12,False,"{'a': 0.2, 'e': 0.94}",20,0,-31.044207843888575,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.2, 'e': 0.9349999999999999}",30,0,-295.8291637987399,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 5}",0
14,False,"{'a': 0.2, 'e': 0.9299999999999999}",30,0,-224.2394825019847,"{0: 16, 1: 2, 2: 7, 3: 2, 4: 3}",0
15,False,"{'a': 0.2, 'e': 0.9249999999999999}",25,0,-163.78691509521707,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
16,False,"{'a': 0.2, 'e': 0.9199999999999999}",20,4,-92.12018151646008,"{0: 9, 1: 0, 2: 6, 3: 0, 4: 1}",1
17,False,"{'a': 0.2, 'e': 0.9149999999999999}",20,0,-130.80473804165769,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
18,False,"{'a': 0.2, 'e': 0.9099999999999999}",20,0,-82.91105847082295,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.2, 'e': 0.9049999999999999}",20,0,-112.85783901368973,"{0: 9, 1: 3, 2: 5, 3: 3, 4: 0}",1
20,False,"{'a': 0.2, 'e': 0.8999999999999999}",30,0,-80.48559713752651,"{0: 18, 1: 4, 2: 7, 3: 1, 4: 0}",0
21,False,"{'a': 0.2, 'e': 0.8949999999999999}",20,0,-22.468717030847888,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
22,False,"{'a': 0.2, 'e': 0.8899999999999999}",30,0,-156.88719498387252,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
23,False,"{'a': 0.2, 'e': 0.8849999999999999}",20,10,-28.850095821262027,"{0: 5, 1: 3, 2: 2, 3: 0, 4: 0}",1
24,False,"{'a': 0.2, 'e': 0.8799999999999999}",25,3,-132.11058677911328,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 2}",1
25,False,"{'a': 0.2, 'e': 0.8749999999999999}",20,0,-129.436288862843,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
26,False,"{'a': 0.2, 'e': 0.8699999999999999}",25,1,-157.89474649677675,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 3}",1
27,False,"{'a': 0.2, 'e': 0.8649999999999999}",25,0,-112.38876446117551,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
28,False,"{'a': 0.2, 'e': 0.8599999999999999}",25,0,-138.97337056964295,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
