trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",25,0,-191.7625319892779,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.99}",25,0,-77.4104368887057,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.985}",25,0,-141.5331193555278,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.98}",20,0,-101.82061794865669,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.975}",25,0,-128.9271349485626,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.97}",20,0,-153.2060004935618,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.965}",25,0,-84.0029857324513,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.96}",25,0,-190.02784732679453,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.955}",35,0,-161.05217814157712,"{0: 19, 1: 7, 2: 5, 3: 3, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.95}",30,0,-197.4722146732563,"{0: 16, 1: 4, 2: 7, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.945}",25,8,-48.700451937610886,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.94}",25,0,-58.69598766815021,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,0,-73.27648560509607,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,9,-40.15604368757931,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",25,0,-124.04968539565974,"{0: 12, 1: 7, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,7,-34.7338672171158,"{0: 9, 1: 0, 2: 3, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",30,0,-91.50333423842575,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-172.38776126290136,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",20,0,-87.19787724931653,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,1,-197.19384021702854,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 4}",1
1,True,"{'a': 0, 'e': 0}",20,0,-115.96823566430604,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-145.5784902987269,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",35,7,-233.50236045984374,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 5}",1
4,True,"{'a': 0, 'e': 0}",30,0,-150.94186018209976,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,0,-80.59703176452679,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-232.87584109770708,"{0: 10, 1: 0, 2: 4, 3: 2, 4: 4}",0
7,True,"{'a': 0, 'e': 0}",25,0,-157.2848953946653,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,-100.98507261965797,"{0: 7, 1: 7, 2: 5, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-108.58911483375657,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-133.0367963170653,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
